Unnamed: 0,name,artist,danceability,energy,key,mode,valence,tempo,Cluster
193,You're Beautiful,James Blunt,0.675,0.479,0,0,0.454,0.3432386613365705,1
194,Rebellion (Lies),Arcade Fire,0.404,0.938,8,1,0.757,0.5322924297285418,0
195,Helicopter,Bloc Party,0.458,0.953,11,0,0.372,0.7119696937985308,2
196,London Calling,The Clash,0.655,0.789,0,1,0.737,0.5597898658406413,1
197,Bad Moon Rising,Creedence Clearwater Revival,0.512,0.82,2,1,0.961,0.7758722451286131,1
198,One,Metallica,0.444,0.703,7,1,0.419,0.4446639737123004,0
199,Shiver,Coldplay,0.396,0.803,4,1,0.286,0.4885200611147157,1
200,You Shook Me All Night Long,AC/DC,0.46,0.981,7,1,0.689,0.5777768475690157,0
201,Hey Jude,The Beatles,0.462,0.632,5,1,0.585,0.3108813495468721,0
202,Wake Up,Arcade Fire,0.255,0.806,0,1,0.358,0.5793256451579146,1
203,We Are the Champions,Queen,0.471,0.446,7,0,0.155,0.3968145000941837,0
204,Say It Ain't So,Weezer,0.641,0.436,8,1,0.446,0.3185667343393541,0
205,The Kill,30 Seconds to Mars,0.179,0.912,4,0,0.289,0.765985056196237,1
206,Dirty Harry,Gorillaz,0.755,0.868,10,0,0.875,0.4026287699616988,2
207,Seaside,The Kooks,0.616,0.41,1,1,0.324,0.5420707842357522,1
208,The Funeral,Band of Horses,0.316,0.777,0,0,0.102,0.5126478159861028,1
209,All You Need Is Love,The Beatles,0.372,0.532,7,1,0.727,0.4295904058268277,0
210,A Certain Romance,Arctic Monkeys,0.455,0.881,11,1,0.201,0.5774461583540887,2
211,Times Like These,Foo Fighters,0.27,0.668,4,0,0.183,0.4694196194981059,1
212,Imagine,John Lennon,0.552,0.479,0,1,0.261,0.5440674773436028,1
213,"Tonight, Tonight",The Smashing Pumpkins,0.277,0.644,6,1,0.177,0.6231524309843237,0
214,Lullaby,The Cure,0.73,0.676,9,1,0.551,0.3931518030934093,2
215,Roxanne,The Police,0.624,0.791,0,1,0.703,0.5590782561376337,1
216,Eleanor Rigby,The Beatles,0.494,0.137,2,1,0.337,0.4604365934824923,1
217,Jeremy,Pearl Jam,0.295,0.791,2,1,0.278,0.4550074300424873,1
218,Torn,Natalie Imbruglia,0.558,0.87,5,1,0.59,0.4031687561480986,0
219,Yellow Submarine,The Beatles,0.668,0.487,1,1,0.655,0.4566357604805459,1
220,When I Come Around,Green Day,0.531,0.909,11,1,0.814,0.4083216475857595,2
221,Lonely Boy,The Black Keys,0.359,0.919,2,1,0.599,0.6961510286946148,1
222,Holiday,Green Day,0.552,0.89,8,1,0.716,0.6133447749011073,0
223,Lovesong,The Cure,0.601,0.821,9,0,0.897,0.586253374913665,2
224,Behind Blue Eyes,Limp Bizkit,0.586,0.502,7,1,0.101,0.5035559555453233,0
225,Chelsea Dagger,The Fratellis,0.509,0.754,7,1,0.528,0.6474434374934595,0
226,The Unforgiven,Metallica,0.54,0.584,7,1,0.244,0.5829381108855355,0
227,Hollaback Girl,Gwen Stefani,0.926,0.916,10,0,0.904,0.4604826388162164,2
228,Go With the Flow,Queens of the Stone Age,0.241,0.986,4,0,0.48,0.6675694342702861,1
229,Just,Radiohead,0.291,0.767,7,0,0.358,0.7354653718160699,0
230,Brown Eyed Girl,Van Morrison,0.488,0.679,7,1,0.887,0.627501622051529,0
231,Teddy Picker,Arctic Monkeys,0.637,0.963,9,1,0.823,0.628309508361414,2
232,Monkey Wrench,Foo Fighters,0.405,0.962,4,1,0.703,0.7287636827895101,1
233,Tears in Heaven,Eric Clapton,0.601,0.143,0,1,0.328,0.3239749680822119,1
234,Something,The Beatles,0.5,0.275,7,1,0.297,0.5231168504991733,0
235,Everybody's Changing,Keane,0.505,0.841,0,1,0.441,0.3935201657632015,1
236,Black,Pearl Jam,0.363,0.619,4,0,0.252,0.3266665271353524,1
237,The Passenger,Iggy Pop,0.482,0.754,4,0,0.36,0.2847401578099165,1
238,Ooh La,The Kooks,0.543,0.873,10,0,0.786,0.6316205864501141,2
239,There Is a Light That Never Goes Out,The Smiths,0.522,0.734,4,1,0.864,0.569250088951213,1
240,Street Spirit (Fade Out),Radiohead,0.488,0.453,4,0,0.129,0.577981958601059,1
241,Stockholm Syndrome,Muse,0.434,0.977,2,1,0.0939,0.5367337114631953,1
242,The Great Gig in the Sky,Pink Floyd,0.284,0.284,5,1,0.209,0.4836183260428222,0
243,Bullet With Butterfly Wings,The Smashing Pumpkins,0.389,0.802,10,0,0.525,0.5113250591263945,2
244,Free Bird,Lynyrd Skynyrd,0.218,0.962,7,1,0.399,0.6300676029217858,0
245,Feeling Good,Muse,0.345,0.418,7,0,0.267,0.4564515791456498,0
246,Tighten Up,The Black Keys,0.491,0.706,1,0,0.573,0.4559618242324034,1
247,Riot Van,Arctic Monkeys,0.593,0.333,9,1,0.258,0.4333996107076331,2
248,Self Esteem,The Offspring,0.488,0.862,0,1,0.706,0.4376818267439671,1
249,From the Ritz to the Rubble,Arctic Monkeys,0.215,0.876,9,0,0.715,0.79068209883003,2
250,Banana Pancakes,Jack Johnson,0.814,0.373,7,1,0.632,0.4794909897653782,0
251,Mr. Jones,Counting Crows,0.575,0.829,0,1,0.734,0.5928336716967706,1
252,Demons,Imagine Dragons,0.497,0.666,3,1,0.356,0.3768601268339648,1
253,Mrs. Robinson,Simon & Garfunkel,0.609,0.564,6,0,0.746,0.3843906318675569,0
254,Teenagers,My Chemical Romance,0.458,0.859,4,1,0.846,0.4635258167814312,1
255,Golden Skans,Klaxons,0.451,0.852,2,0,0.601,0.5941313129199021,1
256,All Star,Smash Mouth,0.728,0.883,11,1,0.84,0.4354297913309195,2
257,Knockin' on Heaven's Door,Guns N' Roses,0.476,0.776,6,1,0.397,0.5538918771845373,0
258,Parallel Universe,Red Hot Chili Peppers,0.344,0.984,0,0,0.192,0.5206304024780762,1
259,Somebody to Love,Jefferson Airplane,0.487,0.701,4,1,0.669,0.5542853554909061,1
260,Faust Arp,Radiohead,0.338,0.289,0,1,0.226,0.5100860210552753,1
261,Adam's Song,blink-182,0.53,0.694,0,1,0.586,0.5703426191423011,1
262,Green Eyes,Coldplay,0.607,0.405,9,1,0.233,0.5422591515100778,2
263,Sail,Awolnation,0.825,0.435,1,1,0.243,0.4982858578036376,1
264,Fat Lip,Sum 41,0.573,0.895,9,1,0.633,0.4106908893028318,2
265,Climbing Up the Walls,Radiohead,0.172,0.655,11,0,0.221,0.3292366939450387,2
266,Do You Want To,Franz Ferdinand,0.414,0.939,0,1,0.748,0.5152514703112246,1
267,Linger,The Cranberries,0.445,0.638,7,1,0.182,0.3970572845810922,0
268,Videotape,Radiohead,0.581,0.384,9,1,0.0466,0.3240419431130832,2
269,Still Take You Home,Arctic Monkeys,0.599,0.946,8,1,0.653,0.4559911258084096,0
270,Go Your Own Way,Fleetwood Mac,0.597,0.812,5,1,0.823,0.567948261788652,0
271,Heads Will Roll,Yeah Yeah Yeahs,0.563,0.903,8,0,0.766,0.5526360953557002,0
272,The Final Countdown,Europe,0.499,0.914,6,0,0.15,0.4921953159337784,0
273,Something Good Can Work,Two Door Cinema Club,0.647,0.83,0,1,0.73,0.5019359969861237,1
274,The Youth,MGMT,0.485,0.799,5,1,0.468,0.4646895079428201,0
275,Electioneering,Radiohead,0.185,0.889,9,0,0.331,0.3246405324514955,2
276,God Put a Smile Upon Your Face,Coldplay,0.612,0.557,9,1,0.242,0.5296594738274137,2
277,On Melancholy Hill,Gorillaz,0.689,0.739,2,1,0.578,0.5040833839134349,1
278,Walk on the Wild Side,Lou Reed,0.543,0.272,0,1,0.382,0.438652964691601,1
279,Guerrilla Radio,Rage Against the Machine,0.599,0.957,11,1,0.489,0.4339982000460454,2
280,On Top,The Killers,0.593,0.935,1,0,0.683,0.5315096590552335,1
281,Going Under,Evanescence,0.373,0.86,11,0,0.482,0.7329705519161138,2
282,Run,Snow Patrol,0.333,0.583,9,0,0.214,0.6247556457858056,2
283,Smooth Criminal,Alien Ant Farm,0.64,0.963,9,0,0.887,0.5312794323866135,2
284,Map of the Problematique,Muse,0.493,0.959,8,1,0.703,0.5234098662592354,0
285,Strawberry Swing,Coldplay,0.195,0.669,1,1,0.428,0.7246698340275016,1
286,Kids With Guns,Gorillaz,0.838,0.475,4,0,0.711,0.4446179283785764,1
287,Brianstorm,Arctic Monkeys,0.428,0.982,1,1,0.478,0.691090227924402,1
288,How to Disappear Completely,Radiohead,0.168,0.302,6,0,0.205,0.4271374453211662,0
289,Today,The Smashing Pumpkins,0.456,0.826,8,1,0.415,0.3455032545679064,0
290,Us and Them,Pink Floyd,0.351,0.31,2,1,0.122,0.3046777873124176,1
291,Crazy Little Thing Called Love,Queen,0.634,0.764,7,1,0.725,0.3212164339982,0
292,No Cars Go,Arcade Fire,0.333,0.75,1,1,0.276,0.5663408610477406,1
293,Pompeii,Bastille,0.679,0.715,9,1,0.571,0.5334351911927835,2
294,Hey You,Pink Floyd,0.589,0.29,0,1,0.183,0.4706419138115072,1
295,Is This It,The Strokes,0.667,0.692,5,1,0.846,0.4019422758952679,0
296,New Born,Muse,0.316,0.918,4,1,0.148,0.6362920948533876,1
297,My Generation,The Who,0.24,0.841,2,1,0.554,0.4177567550597543,1
298,Sunday Morning,Maroon 5,0.599,0.749,0,1,0.8,0.3690575357374578,1
299,Hypnotize,System of a Down,0.277,0.91,6,1,0.0548,0.6437472529772496,0
300,Complicated,Avril Lavigne,0.579,0.676,5,1,0.452,0.3263483957387136,0
301,Be Yourself,Audioslave,0.423,0.81,11,0,0.323,0.4879130998974445,2
302,Love Me Two Times,The Doors,0.684,0.698,9,1,0.839,0.5560853094455723,2
303,Everybody Wants to Rule the World,Tears for Fears,0.683,0.882,2,1,0.578,0.4678457062726303,1
304,The National Anthem,Radiohead,0.486,0.754,2,1,0.387,0.3830971765838549,1
305,Fell in Love With a Girl,The White Stripes,0.235,0.977,0,1,0.379,0.3848092258105026,1
306,Icky Thump,The White Stripes,0.424,0.632,9,1,0.356,0.4089411666213191,2
307,Bombtrack,Rage Against the Machine,0.478,0.855,4,0,0.668,0.6359697775173194,1
308,Here Comes Your Man,Pixies,0.669,0.783,2,1,0.896,0.521224805877059,1
309,"Sitting, Waiting, Wishing",Jack Johnson,0.767,0.557,0,1,0.599,0.4395487557295046,1
310,Pyramid Song,Radiohead,0.127,0.335,11,0,0.0686,0.3226438393436447,2
311,My Iron Lung,Radiohead,0.242,0.859,0,1,0.671,0.4057389229577848,1
312,In Too Deep,Sum 41,0.569,0.814,9,1,0.755,0.4856233910295319,2
313,Foxy Lady,Jimi Hendrix,0.508,0.85,4,1,0.596,0.4109043722137341,1
314,Your Song,Elton John,0.546,0.283,3,1,0.294,0.5356076937566714,1
315,(Don't Fear) The Reaper,Blue Öyster Cult,0.434,0.89,0,1,0.7,0.5944033989828168,1
316,From Yesterday,30 Seconds to Mars,0.468,0.876,10,1,0.13,0.565361351221248,2
317,Thnks fr th Mmrs,Fall Out Boy,0.461,0.89,10,0,0.597,0.6490299085372235,2
318,Sabotage,Beastie Boys,0.324,0.938,6,0,0.543,0.7037861822139434,0
